what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362237421114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237422880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237423864
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362237424880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237425646
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237434276
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362237434276
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362237441796
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362237441843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362237512219
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362237548891
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362237559314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362237599549
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362237599768
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362237600018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362237600299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362237600627
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362237603174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362237603362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362237603565
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362237603752
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362237605159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237611456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237679379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237682066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237686332
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237708942
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237710832
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1362237712989
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362237713176
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362237713223
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237736958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237741880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237752442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237753817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237753974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237756114
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362237756114
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362237761615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362237776819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237777850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237779397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362237784178
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237785850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237793866
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362237793866
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362237802008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362237807648
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362237815680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237817086
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237819305
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362237819320
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1362237822712
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362237823431
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237826978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237830400
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362237843072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362237857400
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237859916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237863228
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362237863244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362237864354
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238074763
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362238080170
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362238086060
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362238087373
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362238094029
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362238096529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362238103498
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238104686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238107951
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362238107967
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362238112639
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362238130655
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362238131717
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362238133453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362238143703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238147828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238149625
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362238149640
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362238155845
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362238157548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362238163657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238165845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238168845
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362238169673
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362238171892
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238172642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238178879
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362238178895
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362238187210
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362238190319
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362238196883
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362238198555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362238204898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238206836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238207477
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362238208586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238209430
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238216012
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362238216028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238294889
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238296092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238296327
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238298764
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362238306109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362238310531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238319547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238320156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362238321297
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362238323875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238330828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238331110
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362238332500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238334703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238336500
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362238337360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238338016
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238344550
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362238344566
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362238353396
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362238377584
started,bundle,org.eclipse.jst.ws.annotations.core,1.1.0.v201104031139,"org.eclipse.jst.ws.annotations.core",1362238393116
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362238393147
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362238403710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362238403850
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238412725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362238412991
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362238416616
